councilors,voted_proportion,votes,year,municipality_code,party,municipality,main_party,region
3,40.55,133,2015,8239,ISQS-CP,Sant Quirze Safaja,PSC,Barcelona
2,16.56,459,2007,8044,PSC-PM,Capellades,PSC,Barcelona
0,1.25,33,2015,8210,SI-Solidaritat,Sant Feliu de Codines,Others,Barcelona
0,10.66,13,2011,17192,ERC-AM,Setcases,ERC,Girona
4,52.63,100,2011,17205,CiU,Ullastret,CIU,Girona
1,16.39,40,2015,25176,PP,Preixana,PP,Lleida
1,80,48,2007,8045,ESQUERRA-AM,Capolat,ERC,Barcelona
4,57.89,121,2003,25130,CIU,Maldà,CIU,Lleida
1,15.41,100,2015,25096,PP,Fuliola,PP,Lleida
7,33.48,3113,2003,8076,PSC-PM,Esparreguera,PSC,Barcelona
1,8.48,162,2011,17013,SI,Begur,Others,Girona
2,21.53,283,2019,8016,AEBE,Bagà,Others,Barcelona
6,52.81,441,2007,43178,CIU,Vinyols i els Arcs,CIU,Tarragona
3,21.21,868,2011,8003,CiU,Alella,CIU,Barcelona
1,7.79,122,2011,8261,PP,Santa Susanna,PP,Barcelona
1,8.2,197,2003,17103,PSC-PM,Maçanet de la Selva,PSC,Girona
2,10.58,888,2019,8033,JUNTS,Caldes de Montbui,JxC,Barcelona
0,3.52,35,2007,43024,IGM,Bellvei,Others,Tarragona
2,15.87,327,2007,43005,CIU,Alcover,CIU,Tarragona
1,7.12,289,2011,8230,SI,Premià de Dalt,Others,Barcelona
5,60.18,399,2003,8304,PSC-PM,Vilobí del Penedès,PSC,Barcelona
2,19.34,258,2015,17039,+C-ERC-AM,Camprodon,ERC,Girona
4,54.81,285,2015,8034,CiU,Calders,CIU,Barcelona
2,15.84,588,2007,8106,PSC-PM,Llinars del Vallès,PSC,Barcelona
0,4.52,120,2007,43162,C'S,Vandellòs i l'Hospitalet de l'Infant,Ciutadans,Tarragona
0,38.02,46,2007,43154,PSC-PM,Torroja del Priorat,PSC,Tarragona
6,44.68,781,2015,8286,CiU,Torre de Claramunt,CIU,Barcelona
2,18.08,472,2011,8281,ERC-AM,Teià,ERC,Barcelona
